masked_position,original_token,prob_U_masked,prob_P_masked,delta_U,delta_P,trial_num,model_id,baseline_U,baseline_P
47,a,0.8671875,0.1328125,0.08984375,-0.08984375,0,83811,0.77734375,0.22265625
48,choice,0.89453125,0.1064453125,0.1171875,-0.1162109375,0,83811,0.77734375,0.22265625
49,.,0.8515625,0.1484375,0.07421875,-0.07421875,0,83811,0.77734375,0.22265625
50,The,0.8359375,0.1640625,0.05859375,-0.05859375,0,83811,0.77734375,0.22265625
51,environment,0.8515625,0.1484375,0.07421875,-0.07421875,0,83811,0.77734375,0.22265625
52,may,0.8515625,0.1484375,0.07421875,-0.07421875,0,83811,0.77734375,0.22265625
53,change,0.8671875,0.1328125,0.08984375,-0.08984375,0,83811,0.77734375,0.22265625
54,unpredict,0.8515625,0.1484375,0.07421875,-0.07421875,0,83811,0.77734375,0.22265625
55,ably,0.8671875,0.1328125,0.08984375,-0.08984375,0,83811,0.77734375,0.22265625
56,",",0.8671875,0.1328125,0.08984375,-0.08984375,0,83811,0.77734375,0.22265625
57,and,0.8515625,0.1484375,0.07421875,-0.07421875,0,83811,0.77734375,0.22265625
58,past,0.8515625,0.1484375,0.07421875,-0.07421875,0,83811,0.77734375,0.22265625
59,success,0.8515625,0.1484375,0.07421875,-0.07421875,0,83811,0.77734375,0.22265625
60,does,0.8515625,0.1484375,0.07421875,-0.07421875,0,83811,0.77734375,0.22265625
61,not,0.8515625,0.1484375,0.07421875,-0.07421875,0,83811,0.77734375,0.22265625
62,guarantee,0.8671875,0.1328125,0.08984375,-0.08984375,0,83811,0.77734375,0.22265625
63,future,0.87890625,0.119140625,0.1015625,-0.103515625,0,83811,0.77734375,0.22265625
64,results,0.8515625,0.1484375,0.07421875,-0.07421875,0,83811,0.77734375,0.22265625
65,.,0.8359375,0.1640625,0.05859375,-0.05859375,0,83811,0.77734375,0.22265625
66,You,0.8515625,0.1484375,0.07421875,-0.07421875,0,83811,0.77734375,0.22265625
67,’ll,0.8359375,0.1640625,0.05859375,-0.05859375,0,83811,0.77734375,0.22265625
68,need,0.8359375,0.1640625,0.05859375,-0.05859375,0,83811,0.77734375,0.22265625
69,to,0.8515625,0.1484375,0.07421875,-0.07421875,0,83811,0.77734375,0.22265625
70,adapt,0.8359375,0.1640625,0.05859375,-0.05859375,0,83811,0.77734375,0.22265625
71,to,0.8515625,0.1484375,0.07421875,-0.07421875,0,83811,0.77734375,0.22265625
72,these,0.8515625,0.1484375,0.07421875,-0.07421875,0,83811,0.77734375,0.22265625
73,changes,0.8515625,0.1484375,0.07421875,-0.07421875,0,83811,0.77734375,0.22265625
74,to,0.8515625,0.1484375,0.07421875,-0.07421875,0,83811,0.77734375,0.22265625
75,keep,0.8515625,0.1484375,0.07421875,-0.07421875,0,83811,0.77734375,0.22265625
76,finding,0.8515625,0.1484375,0.07421875,-0.07421875,0,83811,0.77734375,0.22265625
77,the,0.8359375,0.1640625,0.05859375,-0.05859375,0,83811,0.77734375,0.22265625
78,better,0.8515625,0.1484375,0.07421875,-0.07421875,0,83811,0.77734375,0.22265625
79,machine,0.8515625,0.1484375,0.07421875,-0.07421875,0,83811,0.77734375,0.22265625
80,.,0.8671875,0.1328125,0.08984375,-0.08984375,0,83811,0.77734375,0.22265625
81,You,0.8359375,0.1640625,0.05859375,-0.05859375,0,83811,0.77734375,0.22265625
82,will,0.8515625,0.1484375,0.07421875,-0.07421875,0,83811,0.77734375,0.22265625
83,play,0.8359375,0.1640625,0.05859375,-0.05859375,0,83811,0.77734375,0.22265625
84,,0.8671875,0.1328125,0.08984375,-0.08984375,0,83811,0.77734375,0.22265625
85,1,0.8671875,0.1328125,0.08984375,-0.08984375,0,83811,0.77734375,0.22265625
86,game,0.8671875,0.1328125,0.08984375,-0.08984375,0,83811,0.77734375,0.22265625
87,in,0.8359375,0.1640625,0.05859375,-0.05859375,0,83811,0.77734375,0.22265625
88,total,0.8671875,0.1328125,0.08984375,-0.08984375,0,83811,0.77734375,0.22265625
89,",",0.8515625,0.1484375,0.07421875,-0.07421875,0,83811,0.77734375,0.22265625
90,consisting,0.8515625,0.1484375,0.07421875,-0.07421875,0,83811,0.77734375,0.22265625
91,of,0.8515625,0.1484375,0.07421875,-0.07421875,0,83811,0.77734375,0.22265625
92,,0.8515625,0.1484375,0.07421875,-0.07421875,0,83811,0.77734375,0.22265625
93,100,0.8359375,0.1640625,0.05859375,-0.05859375,0,83811,0.77734375,0.22265625
94,trials,0.8515625,0.1484375,0.07421875,-0.07421875,0,83811,0.77734375,0.22265625
95,.,0.8359375,0.1640625,0.05859375,-0.05859375,0,83811,0.77734375,0.22265625
96,<|eot_id|>,0.8515625,0.1484375,0.07421875,-0.07421875,0,83811,0.77734375,0.22265625
97,,0.8515625,0.1484375,0.07421875,-0.07421875,0,83811,0.77734375,0.22265625
98,<|start_header_id|>,0.81640625,0.1826171875,0.0390625,-0.0400390625,0,83811,0.77734375,0.22265625
99,user,0.62109375,0.376953125,-0.15625,0.154296875,0,83811,0.77734375,0.22265625
100,<|end_header_id|>,0.796875,0.2021484375,0.01953125,-0.0205078125,0,83811,0.77734375,0.22265625
101,,0.8515625,0.1484375,0.07421875,-0.07421875,0,83811,0.77734375,0.22265625
102,#,0.81640625,0.1826171875,0.0390625,-0.0400390625,0,83811,0.77734375,0.22265625
103,Task,0.81640625,0.1826171875,0.0390625,-0.0400390625,0,83811,0.77734375,0.22265625
104,Parameters,0.87890625,0.119140625,0.1015625,-0.103515625,0,83811,0.77734375,0.22265625
105,,0.89453125,0.1064453125,0.1171875,-0.1162109375,0,83811,0.77734375,0.22265625
106,-,0.8359375,0.1640625,0.05859375,-0.05859375,0,83811,0.77734375,0.22265625
107,Trial,0.70703125,0.294921875,-0.0703125,0.072265625,0,83811,0.77734375,0.22265625
108,,0.73046875,0.26953125,-0.046875,0.046875,0,83811,0.77734375,0.22265625
109,0,0.65234375,0.34765625,-0.125,0.125,0,83811,0.77734375,0.22265625
110,of,0.75390625,0.2451171875,-0.0234375,0.0224609375,0,83811,0.77734375,0.22265625
111,,0.796875,0.2021484375,0.01953125,-0.0205078125,0,83811,0.77734375,0.22265625
112,100,0.81640625,0.1826171875,0.0390625,-0.0400390625,0,83811,0.77734375,0.22265625
113,,0.77734375,0.22265625,0.0,0.0,0,83811,0.77734375,0.22265625
114,-,0.8515625,0.1484375,0.07421875,-0.07421875,0,83811,0.77734375,0.22265625
115,Choose,0.75390625,0.2451171875,-0.0234375,0.0224609375,0,83811,0.77734375,0.22265625
116,between,0.8359375,0.1640625,0.05859375,-0.05859375,0,83811,0.77734375,0.22265625
117,:,0.8359375,0.1640625,0.05859375,-0.05859375,0,83811,0.77734375,0.22265625
118,',0.75390625,0.2451171875,-0.0234375,0.0224609375,0,83811,0.77734375,0.22265625
119,U,0.796875,0.2021484375,0.01953125,-0.0205078125,0,83811,0.77734375,0.22265625
120,',0.81640625,0.1826171875,0.0390625,-0.0400390625,0,83811,0.77734375,0.22265625
121,or,0.81640625,0.1826171875,0.0390625,-0.0400390625,0,83811,0.77734375,0.22265625
122,',0.75390625,0.2451171875,-0.0234375,0.0224609375,0,83811,0.77734375,0.22265625
123,P,0.8515625,0.1484375,0.07421875,-0.07421875,0,83811,0.77734375,0.22265625
124,',0.6796875,0.3203125,-0.09765625,0.09765625,0,83811,0.77734375,0.22265625
125,-,0.8515625,0.1484375,0.07421875,-0.07421875,0,83811,0.77734375,0.22265625
126,Possible,0.8359375,0.1640625,0.05859375,-0.05859375,0,83811,0.77734375,0.22265625
127,outcomes,0.8515625,0.1484375,0.07421875,-0.07421875,0,83811,0.77734375,0.22265625
128,:,0.81640625,0.1826171875,0.0390625,-0.0400390625,0,83811,0.77734375,0.22265625
129,,0.8359375,0.1640625,0.05859375,-0.05859375,0,83811,0.77734375,0.22265625
130,1,0.8359375,0.1640625,0.05859375,-0.05859375,0,83811,0.77734375,0.22265625
131,(,0.8359375,0.1640625,0.05859375,-0.05859375,0,83811,0.77734375,0.22265625
132,success,0.8671875,0.1328125,0.08984375,-0.08984375,0,83811,0.77734375,0.22265625
133,),0.8515625,0.1484375,0.07421875,-0.07421875,0,83811,0.77734375,0.22265625
134,or,0.81640625,0.1826171875,0.0390625,-0.0400390625,0,83811,0.77734375,0.22265625
135,,0.8671875,0.1328125,0.08984375,-0.08984375,0,83811,0.77734375,0.22265625
136,0,0.81640625,0.1826171875,0.0390625,-0.0400390625,0,83811,0.77734375,0.22265625
137,(,0.87890625,0.119140625,0.1015625,-0.103515625,0,83811,0.77734375,0.22265625
138,failure,0.87890625,0.119140625,0.1015625,-0.103515625,0,83811,0.77734375,0.22265625
139,),0.8515625,0.1484375,0.07421875,-0.07421875,0,83811,0.77734375,0.22265625
140,#,0.87890625,0.119140625,0.1015625,-0.103515625,0,83811,0.77734375,0.22265625
141,History,0.8359375,0.1640625,0.05859375,-0.05859375,0,83811,0.77734375,0.22265625
142,,0.8671875,0.1328125,0.08984375,-0.08984375,0,83811,0.77734375,0.22265625
143,#,0.90625,0.09521484375,0.12890625,-0.12744140625,0,83811,0.77734375,0.22265625
144,Instructions,0.90625,0.09521484375,0.12890625,-0.12744140625,0,83811,0.77734375,0.22265625
145,,0.81640625,0.1826171875,0.0390625,-0.0400390625,0,83811,0.77734375,0.22265625
146,Respond,0.8671875,0.1328125,0.08984375,-0.08984375,0,83811,0.77734375,0.22265625
147,with,0.9140625,0.0849609375,0.13671875,-0.1376953125,0,83811,0.77734375,0.22265625
148,**,0.8359375,0.1640625,0.05859375,-0.05859375,0,83811,0.77734375,0.22265625
149,only,0.87890625,0.119140625,0.1015625,-0.103515625,0,83811,0.77734375,0.22265625
150,**,0.8359375,0.1640625,0.05859375,-0.05859375,0,83811,0.77734375,0.22265625
151,one,0.8515625,0.1484375,0.07421875,-0.07421875,0,83811,0.77734375,0.22265625
152,character,0.89453125,0.1064453125,0.1171875,-0.1162109375,0,83811,0.77734375,0.22265625
153,:,0.77734375,0.22265625,0.0,0.0,0,83811,0.77734375,0.22265625
154,',0.73046875,0.26953125,-0.046875,0.046875,0,83811,0.77734375,0.22265625
155,U,0.8671875,0.1328125,0.08984375,-0.08984375,0,83811,0.77734375,0.22265625
156,',0.77734375,0.22265625,0.0,0.0,0,83811,0.77734375,0.22265625
157,or,0.89453125,0.1064453125,0.1171875,-0.1162109375,0,83811,0.77734375,0.22265625
158,',0.8671875,0.1328125,0.08984375,-0.08984375,0,83811,0.77734375,0.22265625
159,P,0.87890625,0.119140625,0.1015625,-0.103515625,0,83811,0.77734375,0.22265625
160,'.,0.73046875,0.26953125,-0.046875,0.046875,0,83811,0.77734375,0.22265625
161,No,0.8515625,0.1484375,0.07421875,-0.07421875,0,83811,0.77734375,0.22265625
162,punctuation,0.73046875,0.26953125,-0.046875,0.046875,0,83811,0.77734375,0.22265625
163,",",0.81640625,0.1826171875,0.0390625,-0.0400390625,0,83811,0.77734375,0.22265625
164,no,0.77734375,0.22265625,0.0,0.0,0,83811,0.77734375,0.22265625
165,quotes,0.796875,0.2021484375,0.01953125,-0.0205078125,0,83811,0.77734375,0.22265625
166,",",0.81640625,0.1826171875,0.0390625,-0.0400390625,0,83811,0.77734375,0.22265625
167,no,0.8671875,0.1328125,0.08984375,-0.08984375,0,83811,0.77734375,0.22265625
168,explanation,0.81640625,0.1826171875,0.0390625,-0.0400390625,0,83811,0.77734375,0.22265625
169,.,0.62109375,0.376953125,-0.15625,0.154296875,0,83811,0.77734375,0.22265625
170,Answer,0.796875,0.2021484375,0.01953125,-0.0205078125,0,83811,0.77734375,0.22265625
171,:,0.81640625,0.1826171875,0.0390625,-0.0400390625,0,83811,0.77734375,0.22265625
172,<|start_header_id|>,0.6796875,0.3203125,-0.09765625,0.09765625,0,83811,0.77734375,0.22265625
173,assistant,0.1015625,0.051025390625,-0.67578125,-0.171630859375,0,83811,0.77734375,0.22265625
174,<|end_header_id|>,0.796875,0.2021484375,0.01953125,-0.0205078125,0,83811,0.77734375,0.22265625
175,,3.248453140258789e-06,3.680586814880371e-06,-0.7773405015468597,-0.22265256941318512,0,83811,0.77734375,0.22265625
0,<|begin_of_text|>,0.40625,0.59375,-0.1875,0.1875,1,83811,0.59375,0.40625
1,,0.73046875,0.26953125,0.13671875,-0.13671875,1,83811,0.59375,0.40625
2,<|start_header_id|>,0.796875,0.2021484375,0.203125,-0.2041015625,1,83811,0.59375,0.40625
3,system,0.6796875,0.3203125,0.0859375,-0.0859375,1,83811,0.59375,0.40625
4,<|end_header_id|>,0.75390625,0.2451171875,0.16015625,-0.1611328125,1,83811,0.59375,0.40625
5,,0.75390625,0.2451171875,0.16015625,-0.1611328125,1,83811,0.59375,0.40625
6,You,0.796875,0.2021484375,0.203125,-0.2041015625,1,83811,0.59375,0.40625
7,are,0.77734375,0.22265625,0.18359375,-0.18359375,1,83811,0.59375,0.40625
8,participating,0.77734375,0.22265625,0.18359375,-0.18359375,1,83811,0.59375,0.40625
9,in,0.73046875,0.26953125,0.13671875,-0.13671875,1,83811,0.59375,0.40625
10,multiple,0.73046875,0.26953125,0.13671875,-0.13671875,1,83811,0.59375,0.40625
11,games,0.6796875,0.3203125,0.0859375,-0.0859375,1,83811,0.59375,0.40625
12,involving,0.75390625,0.2451171875,0.16015625,-0.1611328125,1,83811,0.59375,0.40625
13,two,0.75390625,0.2451171875,0.16015625,-0.1611328125,1,83811,0.59375,0.40625
14,slot,0.59375,0.408203125,0.0,0.001953125,1,83811,0.59375,0.40625
15,machines,0.73046875,0.26953125,0.13671875,-0.13671875,1,83811,0.59375,0.40625
16,",",0.77734375,0.22265625,0.18359375,-0.18359375,1,83811,0.59375,0.40625
17,labeled,0.81640625,0.1826171875,0.22265625,-0.2236328125,1,83811,0.59375,0.40625
18,U,0.46875,0.53125,-0.125,0.125,1,83811,0.59375,0.40625
19,and,0.5625,0.4375,-0.03125,0.03125,1,83811,0.59375,0.40625
20,P,0.70703125,0.294921875,0.11328125,-0.111328125,1,83811,0.59375,0.40625
21,.,0.70703125,0.294921875,0.11328125,-0.111328125,1,83811,0.59375,0.40625
22,Your,0.75390625,0.2451171875,0.16015625,-0.1611328125,1,83811,0.59375,0.40625
23,goal,0.73046875,0.26953125,0.13671875,-0.13671875,1,83811,0.59375,0.40625
24,is,0.73046875,0.26953125,0.13671875,-0.13671875,1,83811,0.59375,0.40625
25,to,0.73046875,0.26953125,0.13671875,-0.13671875,1,83811,0.59375,0.40625
26,choose,0.6796875,0.3203125,0.0859375,-0.0859375,1,83811,0.59375,0.40625
27,the,0.77734375,0.22265625,0.18359375,-0.18359375,1,83811,0.59375,0.40625
28,slot,0.70703125,0.294921875,0.11328125,-0.111328125,1,83811,0.59375,0.40625
29,machines,0.77734375,0.22265625,0.18359375,-0.18359375,1,83811,0.59375,0.40625
30,that,0.77734375,0.22265625,0.18359375,-0.18359375,1,83811,0.59375,0.40625
31,will,0.796875,0.2021484375,0.203125,-0.2041015625,1,83811,0.59375,0.40625
32,give,0.73046875,0.26953125,0.13671875,-0.13671875,1,83811,0.59375,0.40625
33,you,0.73046875,0.26953125,0.13671875,-0.13671875,1,83811,0.59375,0.40625
34,the,0.75390625,0.2451171875,0.16015625,-0.1611328125,1,83811,0.59375,0.40625
35,most,0.796875,0.2021484375,0.203125,-0.2041015625,1,83811,0.59375,0.40625
36,points,0.75390625,0.2451171875,0.16015625,-0.1611328125,1,83811,0.59375,0.40625
37,.,0.73046875,0.26953125,0.13671875,-0.13671875,1,83811,0.59375,0.40625
38,You,0.70703125,0.294921875,0.11328125,-0.111328125,1,83811,0.59375,0.40625
39,will,0.73046875,0.26953125,0.13671875,-0.13671875,1,83811,0.59375,0.40625
40,receive,0.77734375,0.22265625,0.18359375,-0.18359375,1,83811,0.59375,0.40625
41,feedback,0.87890625,0.119140625,0.28515625,-0.287109375,1,83811,0.59375,0.40625
42,about,0.75390625,0.2451171875,0.16015625,-0.1611328125,1,83811,0.59375,0.40625
43,the,0.77734375,0.22265625,0.18359375,-0.18359375,1,83811,0.59375,0.40625
44,outcome,0.75390625,0.2451171875,0.16015625,-0.1611328125,1,83811,0.59375,0.40625
45,after,0.77734375,0.22265625,0.18359375,-0.18359375,1,83811,0.59375,0.40625
46,making,0.77734375,0.22265625,0.18359375,-0.18359375,1,83811,0.59375,0.40625
47,a,0.796875,0.2021484375,0.203125,-0.2041015625,1,83811,0.59375,0.40625
48,choice,0.81640625,0.1826171875,0.22265625,-0.2236328125,1,83811,0.59375,0.40625
49,.,0.77734375,0.22265625,0.18359375,-0.18359375,1,83811,0.59375,0.40625
50,The,0.77734375,0.22265625,0.18359375,-0.18359375,1,83811,0.59375,0.40625
51,environment,0.81640625,0.1826171875,0.22265625,-0.2236328125,1,83811,0.59375,0.40625
52,may,0.75390625,0.2451171875,0.16015625,-0.1611328125,1,83811,0.59375,0.40625
53,change,0.77734375,0.22265625,0.18359375,-0.18359375,1,83811,0.59375,0.40625
54,unpredict,0.73046875,0.26953125,0.13671875,-0.13671875,1,83811,0.59375,0.40625
55,ably,0.70703125,0.294921875,0.11328125,-0.111328125,1,83811,0.59375,0.40625
56,",",0.77734375,0.22265625,0.18359375,-0.18359375,1,83811,0.59375,0.40625
57,and,0.77734375,0.22265625,0.18359375,-0.18359375,1,83811,0.59375,0.40625
58,past,0.75390625,0.2451171875,0.16015625,-0.1611328125,1,83811,0.59375,0.40625
59,success,0.73046875,0.26953125,0.13671875,-0.13671875,1,83811,0.59375,0.40625
60,does,0.75390625,0.2451171875,0.16015625,-0.1611328125,1,83811,0.59375,0.40625
61,not,0.73046875,0.26953125,0.13671875,-0.13671875,1,83811,0.59375,0.40625
62,guarantee,0.73046875,0.26953125,0.13671875,-0.13671875,1,83811,0.59375,0.40625
63,future,0.75390625,0.2451171875,0.16015625,-0.1611328125,1,83811,0.59375,0.40625
64,results,0.75390625,0.2451171875,0.16015625,-0.1611328125,1,83811,0.59375,0.40625
65,.,0.77734375,0.22265625,0.18359375,-0.18359375,1,83811,0.59375,0.40625
66,You,0.65234375,0.34765625,0.05859375,-0.05859375,1,83811,0.59375,0.40625
67,’ll,0.6796875,0.3203125,0.0859375,-0.0859375,1,83811,0.59375,0.40625
68,need,0.73046875,0.26953125,0.13671875,-0.13671875,1,83811,0.59375,0.40625
69,to,0.77734375,0.22265625,0.18359375,-0.18359375,1,83811,0.59375,0.40625
70,adapt,0.6796875,0.3203125,0.0859375,-0.0859375,1,83811,0.59375,0.40625
71,to,0.73046875,0.26953125,0.13671875,-0.13671875,1,83811,0.59375,0.40625
72,these,0.70703125,0.294921875,0.11328125,-0.111328125,1,83811,0.59375,0.40625
73,changes,0.73046875,0.26953125,0.13671875,-0.13671875,1,83811,0.59375,0.40625
74,to,0.75390625,0.2451171875,0.16015625,-0.1611328125,1,83811,0.59375,0.40625
75,keep,0.73046875,0.26953125,0.13671875,-0.13671875,1,83811,0.59375,0.40625
76,finding,0.75390625,0.2451171875,0.16015625,-0.1611328125,1,83811,0.59375,0.40625
77,the,0.75390625,0.2451171875,0.16015625,-0.1611328125,1,83811,0.59375,0.40625
78,better,0.73046875,0.26953125,0.13671875,-0.13671875,1,83811,0.59375,0.40625
79,machine,0.75390625,0.2451171875,0.16015625,-0.1611328125,1,83811,0.59375,0.40625
80,.,0.796875,0.2021484375,0.203125,-0.2041015625,1,83811,0.59375,0.40625
81,You,0.62109375,0.376953125,0.02734375,-0.029296875,1,83811,0.59375,0.40625
82,will,0.62109375,0.376953125,0.02734375,-0.029296875,1,83811,0.59375,0.40625
83,play,0.70703125,0.294921875,0.11328125,-0.111328125,1,83811,0.59375,0.40625
84,,0.70703125,0.294921875,0.11328125,-0.111328125,1,83811,0.59375,0.40625
85,1,0.6796875,0.3203125,0.0859375,-0.0859375,1,83811,0.59375,0.40625
86,game,0.73046875,0.26953125,0.13671875,-0.13671875,1,83811,0.59375,0.40625
87,in,0.73046875,0.26953125,0.13671875,-0.13671875,1,83811,0.59375,0.40625
88,total,0.73046875,0.26953125,0.13671875,-0.13671875,1,83811,0.59375,0.40625
89,",",0.73046875,0.26953125,0.13671875,-0.13671875,1,83811,0.59375,0.40625
90,consisting,0.73046875,0.26953125,0.13671875,-0.13671875,1,83811,0.59375,0.40625
91,of,0.75390625,0.2451171875,0.16015625,-0.1611328125,1,83811,0.59375,0.40625
92,,0.75390625,0.2451171875,0.16015625,-0.1611328125,1,83811,0.59375,0.40625
93,100,0.4375,0.5625,-0.15625,0.15625,1,83811,0.59375,0.40625
94,trials,0.5625,0.4375,-0.03125,0.03125,1,83811,0.59375,0.40625
95,.,0.6796875,0.3203125,0.0859375,-0.0859375,1,83811,0.59375,0.40625
96,<|eot_id|>,0.62109375,0.376953125,0.02734375,-0.029296875,1,83811,0.59375,0.40625
97,,0.62109375,0.376953125,0.02734375,-0.029296875,1,83811,0.59375,0.40625
98,<|start_header_id|>,0.6796875,0.3203125,0.0859375,-0.0859375,1,83811,0.59375,0.40625
99,user,0.62109375,0.376953125,0.02734375,-0.029296875,1,83811,0.59375,0.40625
100,<|end_header_id|>,0.77734375,0.22265625,0.18359375,-0.18359375,1,83811,0.59375,0.40625
101,,0.8359375,0.1640625,0.2421875,-0.2421875,1,83811,0.59375,0.40625
102,#,0.73046875,0.26953125,0.13671875,-0.13671875,1,83811,0.59375,0.40625
103,Task,0.8359375,0.1640625,0.2421875,-0.2421875,1,83811,0.59375,0.40625
104,Parameters,0.8515625,0.1484375,0.2578125,-0.2578125,1,83811,0.59375,0.40625
105,,0.8359375,0.1640625,0.2421875,-0.2421875,1,83811,0.59375,0.40625
106,-,0.70703125,0.294921875,0.11328125,-0.111328125,1,83811,0.59375,0.40625
107,Trial,0.5625,0.4375,-0.03125,0.03125,1,83811,0.59375,0.40625
108,,0.4375,0.5625,-0.15625,0.15625,1,83811,0.59375,0.40625
109,1,0.408203125,0.59375,-0.185546875,0.1875,1,83811,0.59375,0.40625
110,of,0.5625,0.4375,-0.03125,0.03125,1,83811,0.59375,0.40625
111,,0.65234375,0.34765625,0.05859375,-0.05859375,1,83811,0.59375,0.40625
112,100,0.62109375,0.376953125,0.02734375,-0.029296875,1,83811,0.59375,0.40625
113,,0.6796875,0.3203125,0.0859375,-0.0859375,1,83811,0.59375,0.40625
114,-,0.73046875,0.26953125,0.13671875,-0.13671875,1,83811,0.59375,0.40625
115,Choose,0.53125,0.46875,-0.0625,0.0625,1,83811,0.59375,0.40625
116,between,0.62109375,0.376953125,0.02734375,-0.029296875,1,83811,0.59375,0.40625
117,:,0.70703125,0.294921875,0.11328125,-0.111328125,1,83811,0.59375,0.40625
118,',0.94140625,0.06005859375,0.34765625,-0.34619140625,1,83811,0.59375,0.40625
119,U,0.70703125,0.294921875,0.11328125,-0.111328125,1,83811,0.59375,0.40625
120,',0.796875,0.2021484375,0.203125,-0.2041015625,1,83811,0.59375,0.40625
121,or,0.53125,0.46875,-0.0625,0.0625,1,83811,0.59375,0.40625
122,',0.5625,0.4375,-0.03125,0.03125,1,83811,0.59375,0.40625
123,P,0.8671875,0.1328125,0.2734375,-0.2734375,1,83811,0.59375,0.40625
124,',0.6796875,0.3203125,0.0859375,-0.0859375,1,83811,0.59375,0.40625
125,-,0.796875,0.2021484375,0.203125,-0.2041015625,1,83811,0.59375,0.40625
